0.11	94.85	103.16	117.81	108.49	112.32	116.16	104.9	109.87	107.14	107.65	111.7	108.22	106	114.29	119.64	115.97	117.46	112.6	112.53	108.91	108.34	105.45	109.51	114.15	121.53	118.82	114.75	111	119.58	112.25	120	112.98	108.09	110.34	107.58	107.57	107.67	107.84	114.04	110.82	104.32	118.14	116.65	106.94	119.43	116.06	117.08	102.46	106.65	130.15	106.33	117.11	112.31	105.5	122.58	123.21	121.72	122.06	117.38	131.37
0.1105	94.929	103.33	118.02	108.62	112.41	116.27	105.08	109.95	107.23	107.73	111.81	108.39	106.13	114.39	119.7	116.08	117.61	112.81	112.64	109.02	108.47	105.62	109.62	114.24	121.65	118.94	114.85	111.18	119.71	112.47	120.14	113.12	108.6	110.65	107.74	107.72	107.83	108.01	114.22	110.96	104.51	118.21	116.72	107.05	119.56	116.2	117.17	102.66	106.85	130.33	106.45	117.18	112.39	105.59	122.69	123.27	121.83	122.13	117.48	131.42
0.111	95.008	103.51	118.23	108.76	112.5	116.38	105.25	110.03	107.32	107.82	111.92	108.55	106.25	114.49	119.77	116.2	117.77	113.02	112.75	109.12	108.59	105.78	109.73	114.34	121.77	119.06	114.95	111.35	119.84	112.68	120.27	113.27	109.12	110.95	107.9	107.88	107.98	108.18	114.4	111.1	104.7	118.29	116.8	107.15	119.69	116.33	117.26	102.87	107.06	130.52	106.58	117.25	112.48	105.68	122.81	123.33	121.95	122.21	117.59	131.47
0.1115	95.087	103.68	118.44	108.89	112.59	116.48	105.42	110.12	107.41	107.91	112.03	108.71	106.38	114.59	119.83	116.32	117.92	113.24	112.86	109.22	108.72	105.94	109.84	114.43	121.9	119.18	115.05	111.52	119.98	112.9	120.41	113.41	109.63	111.26	108.06	108.03	108.14	108.34	114.57	111.24	104.89	118.36	116.88	107.26	119.82	116.47	117.34	103.07	107.26	130.7	106.7	117.32	112.56	105.78	122.93	123.39	122.06	122.28	117.69	131.53
0.112	95.166	103.85	118.65	109.03	112.68	116.59	105.59	110.2	107.5	108	112.14	108.87	106.5	114.69	119.9	116.43	118.08	113.45	112.98	109.32	108.85	106.1	109.95	114.53	122.02	119.3	115.14	111.7	120.11	113.12	120.54	113.56	110.14	111.57	108.22	108.18	108.29	108.51	114.75	111.39	105.07	118.44	116.95	107.36	119.95	116.6	117.43	103.28	107.46	130.89	106.82	117.39	112.65	105.87	123.04	123.45	122.17	122.35	117.79	131.58
0.1125	95.245	104.03	118.86	109.16	112.77	116.7	105.77	110.28	107.59	108.09	112.26	109.04	106.63	114.79	119.96	116.55	118.24	113.67	113.09	109.42	108.97	106.26	110.06	114.62	122.14	119.42	115.24	111.87	120.24	113.34	120.68	113.7	110.66	111.88	108.38	108.34	108.45	108.67	114.93	111.53	105.26	118.52	117.03	107.47	120.07	116.73	117.51	103.48	107.66	131.07	106.95	117.46	112.73	105.96	123.16	123.5	122.28	122.43	117.9	131.63
0.113	95.324	104.2	119.07	109.29	112.86	116.81	105.94	110.37	107.68	108.18	112.37	109.2	106.75	114.89	120.03	116.66	118.39	113.88	113.2	109.53	109.1	106.43	110.17	114.72	122.27	119.54	115.34	112.04	120.37	113.56	120.82	113.84	111.17	112.19	108.53	108.49	108.61	108.84	114.93	111.67	105.45	118.59	117.11	107.57	120.2	116.87	117.6	103.69	107.86	131.26	107.07	117.53	112.82	106.05	123.27	123.56	122.4	122.5	118	131.68
0.1135	95.403	104.38	119.28	109.43	112.95	116.92	106.11	110.45	107.77	108.27	112.48	109.36	106.88	114.99	120.1	116.78	118.55	114.09	113.31	109.63	109.23	106.59	110.28	114.81	122.39	119.66	115.44	112.21	120.5	113.78	120.95	113.99	111.68	112.5	108.69	108.64	108.76	109.01	115.04	111.81	105.64	118.67	117.18	107.67	120.33	117	117.69	103.9	108.07	131.45	107.2	117.6	112.9	106.15	123.39	123.62	122.51	122.57	118.11	131.74
0.114	95.482	104.55	119.49	109.56	113.04	117.02	106.28	110.53	107.86	108.36	112.59	109.52	107	115.09	120.16	116.89	118.7	114.31	113.42	109.73	109.35	106.75	110.39	114.91	122.51	119.79	115.53	112.39	120.64	114	121.09	114.13	112.19	112.8	108.85	108.79	108.92	109.17	115.14	111.95	105.83	118.75	117.26	107.78	120.46	117.13	117.77	104.1	108.27	131.63	107.32	117.67	112.99	106.24	123.51	123.68	122.62	122.64	118.21	131.79
0.1145	95.562	104.73	119.7	109.7	113.13	117.13	106.46	110.62	107.95	108.45	112.7	109.69	107.13	115.19	120.23	117.01	118.86	114.52	113.53	109.83	109.48	106.91	110.5	115	122.64	119.91	115.63	112.56	120.77	114.21	121.23	114.28	112.71	113.11	109.01	108.95	109.07	109.34	115.25	112.09	106.02	118.82	117.34	107.88	120.59	117.27	117.77	104.31	108.47	131.82	107.45	117.74	113.07	106.33	123.62	123.74	122.73	122.72	118.31	131.84
