8.0104	48.542
8.0256	50.267
8.0408	51.506
8.056	51.621
8.0712	51.292
8.0864	51.031
8.1016	51.048
8.1168	50.12
8.132	48.356
8.1472	47.089
8.1624	46.014
8.1776	44.767
8.1928	44.568
8.208	44.748
8.2232	44.884
8.2384	45.595
8.2536	45.945
8.2688	45.444
8.284	45.138
8.2992	45.177
8.3144	44.805
8.3296	44.471
8.3448	44.524
8.36	45.151
8.3752	48.054
8.3904	52.223
8.4056	54.863
8.4208	55.383
8.436	54.715
8.4512	51.641
8.4664	48.188
8.4816	45.6
8.4968	43.35
8.512	42.141
8.5272	41.802
8.5424	42.466
8.5576	42.837
8.5728	43.362
8.588	45.001
8.6032	47.346
8.6184	50.491
8.6336	52.593
8.6488	52.767
8.664	52.157
8.6792	53.3
8.6944	54.425
8.7096	57.214
8.7248	62.375
8.74	64.026
8.7552	65.146
8.7704	67.298
8.7856	67.457
8.8008	67.895
8.816	70.993
8.8312	75.072
8.8464	78.868
8.8616	82.678
8.8768	85.948
8.892	87.66
8.9072	91.044
8.9224	95.802
8.9376	101.21
8.9528	105.92
8.968	106.64
8.9832	108.11
8.9984	106.86
9.0136	103.11
9.0288	99.132
9.044	93.753
9.0592	89.343
9.0744	84.834
9.0896	81.347
9.1048	76.628
9.12	71.032
9.1352	66.281
9.1504	59.902
9.1656	56.728
9.1808	52.819
9.196	49.556
9.2112	48.727
9.2264	48.636
9.2416	48.705
9.2568	50.039
9.272	52.37
9.2872	54.394
9.3024	54.193
9.3176	54.084
9.3328	54.669
9.348	52.82
9.3632	51.987
9.3784	52.599
9.3936	53.061
9.4088	53.21
9.424	55.284
9.4392	56.6
9.4544	58.139
9.4696	60.493
9.4848	61.302
9.5	61.635
9.5152	64.167
9.5304	64.441
9.5456	63.864
9.5608	64.251
9.576	63.203
9.5912	61.037
9.6064	58.852
9.6216	58.888
9.6368	58.036
9.652	56.667
9.6672	56.885
9.6824	57.39
9.6976	56.521
9.7128	55.514
9.728	54.854
9.7432	54.498
9.7584	55.18
9.7736	56.474
